Distillation  Reformat  NaphthaT  NaphthaC Polymer Alkylat Gasoline Y
. 0.23 0.00 0.00 0.00 0.74 0.03 98.7
0.00 . 0.00 0.00 0.12 0.74 0.04 97.8
0.00 0.00 . 0.10 0.12 0.74 0.04 96.6
0.00 0.49 0.00 . 0.12 0.37 0.02 92.0
0.00 0.00 0.00 0.62 . 0.18 0.08 86.6
0.00 0.62 0.00 0.00 0.00 . 0.01 91.2
0.17 0.27 0.10 0.38 0.00 0.00 . 81.9
. 0.19 0.10 0.38 0.02 0.06 0.08 83.1
0.17 . 0.10 0.38 0.00 0.06 0.08 82.4
0.17 0.15 . 0.38 0.02 0.10 0.08 83.2
0.21 0.36 0.12 . 0.00 0.00 0.06 81.4
0.00 0.00 0.00 0.55 . 0.37 0.08 88.1
